actual_completion_time,rf_predicted_completion_time,nn_predicted_completion_time,actual_orders_per_step,rf_predicted_orders_per_step,nn_predicted_orders_per_step,actual_robot_efficiency,rf_predicted_robot_efficiency,nn_predicted_robot_efficiency,actual_completion_rate,rf_predicted_completion_rate,nn_predicted_completion_rate,num_robots,num_workstations,order_density,robot_density
544,284.80198809523813,704.6051,0.1176470588235294,0.10322048314464558,0.09608237,0.0047058823529411,0.004546751304710305,0.0055021904,0.9696969696969696,0.8696383921941094,0.85470086,25,2,0.05,0.18518518518518517
494,284.80198809523813,704.6051,0.1113360323886639,0.10322048314464558,0.09608237,0.0044534412955465,0.004546751304710305,0.0055021904,0.9166666666666666,0.8696383921941094,0.85470086,25,2,0.05,0.18518518518518517
937,574.2187261904762,981.1875,0.1259338313767342,0.1126380338450139,0.09750642,0.0050373532550693,0.005359539795219921,0.005621423,0.944,0.8963395166022802,0.87424934,25,2,0.1,0.18518518518518517
1203,574.2187261904762,981.1875,0.1005818786367414,0.1126380338450139,0.09750642,0.0040232751454696,0.005359539795219921,0.005621423,0.937984496124031,0.8963395166022802,0.87424934,25,2,0.1,0.18518518518518517
1067,574.2187261904762,981.1875,0.1049671977507029,0.1126380338450139,0.09750642,0.0041986879100281,0.005359539795219921,0.005621423,0.991150442477876,0.8963395166022802,0.87424934,25,2,0.1,0.18518518518518517
1752,1160.161880952381,1534.3519,0.1312785388127854,0.1296427719594571,0.10035452,0.0052511415525114,0.0055997830089302755,0.0058598877,0.9465020576131687,0.9645896340046421,0.9133463,25,2,0.2,0.18518518518518517
1690,1160.161880952381,1534.3519,0.1420118343195266,0.1296427719594571,0.10035452,0.005680473372781,0.0055997830089302755,0.0058598877,0.9523809523809524,0.9645896340046421,0.9133463,25,2,0.2,0.18518518518518517
2066,1160.161880952381,1534.3519,0.12729912875121,0.1296427719594571,0.10035452,0.0050919651500484,0.0055997830089302755,0.0058598877,0.9494584837545126,0.9645896340046421,0.9133463,25,2,0.2,0.18518518518518517
2783,1750.6506587301587,2087.5164,0.1315127560186848,0.1275031088215216,0.10320263,0.0052605102407473,0.005826516630785183,0.0060983524,0.976,0.9698067802202197,0.95244324,25,2,0.3,0.18518518518518517
2686,1750.6506587301587,2087.5164,0.1366344005956813,0.1275031088215216,0.10320263,0.0054653760238272,0.005826516630785183,0.0060983524,0.9839142091152816,0.9698067802202197,0.95244324,25,2,0.3,0.18518518518518517
2801,1750.6506587301587,2087.5164,0.132452695465905,0.1275031088215216,0.10320263,0.0052981078186362,0.005826516630785183,0.0060983524,0.9840848806366048,0.9698067802202197,0.95244324,25,2,0.3,0.18518518518518517
487,273.9986666666666,691.74725,0.1149897330595482,0.11474762499323689,0.09599081,0.0045995893223819,0.004987390802738369,0.0054968325,0.8484848484848485,0.8647800453776806,0.8537888,25,3,0.05,0.18518518518518517
515,273.9986666666666,691.74725,0.1106796116504854,0.11474762499323689,0.09599081,0.0044271844660194,0.004987390802738369,0.0054968325,0.7916666666666666,0.8647800453776806,0.8537888,25,3,0.05,0.18518518518518517
624,273.9986666666666,691.74725,0.110576923076923,0.11474762499323689,0.09599081,0.0044230769230769,0.004987390802738369,0.0054968325,0.971830985915493,0.8647800453776806,0.8537888,25,3,0.05,0.18518518518518517
865,522.8720238095236,968.3294,0.122543352601156,0.11694821336160496,0.09741486,0.0049017341040462,0.005597696601528999,0.005616065,0.8983050847457628,0.901347927083758,0.87333727,25,3,0.1,0.18518518518518517
976,522.8720238095236,968.3294,0.1239754098360655,0.11694821336160496,0.09741486,0.0049590163934426,0.005597696601528999,0.005616065,0.9166666666666666,0.901347927083758,0.87333727,25,3,0.1,0.18518518518518517
809,522.8720238095236,968.3294,0.1186650185414091,0.11694821336160496,0.09741486,0.0047466007416563,0.005597696601528999,0.005616065,0.9504950495049505,0.901347927083758,0.87333727,25,3,0.1,0.18518518518518517
1823,1166.9683214285715,1521.4938,0.1278113000548546,0.1331062635876861,0.10026297,0.0051124520021941,0.005712494541424425,0.00585453,0.966804979253112,0.9607164048649789,0.9124342,25,3,0.2,0.18518518518518517
1935,1166.9683214285715,1521.4938,0.1209302325581395,0.1331062635876861,0.10026297,0.0048372093023255,0.005712494541424425,0.00585453,0.9873417721518988,0.9607164048649789,0.9124342,25,3,0.2,0.18518518518518517
1777,1166.9683214285715,1521.4938,0.1378728193584693,0.1331062635876861,0.10026297,0.0055149127743387,0.005712494541424425,0.00585453,0.9315589353612168,0.9607164048649789,0.9124342,25,3,0.2,0.18518518518518517
2667,1875.1364047619052,2074.6582,0.1338582677165354,0.12018508992338665,0.10311107,0.0053543307086614,0.005528030137598505,0.0060929945,0.9754098360655736,0.9758172870598857,0.9515312,25,3,0.3,0.18518518518518517
2748,1875.1364047619052,2074.6582,0.1324599708879185,0.12018508992338665,0.10311107,0.0052983988355167,0.005528030137598505,0.0060929945,0.986449864498645,0.9758172870598857,0.9515312,25,3,0.3,0.18518518518518517
2960,1875.1364047619052,2074.6582,0.125,0.12018508992338665,0.10311107,0.005,0.005528030137598505,0.0060929945,0.9762532981530344,0.9758172870598857,0.9515312,25,3,0.3,0.18518518518518517
474,324.2125158730158,678.8894,0.1075949367088607,0.09569802004813133,0.09589924,0.0043037974683544,0.004194550571977257,0.005491475,0.7846153846153846,0.7652348116931753,0.8528768,25,4,0.05,0.18518518518518517
523,324.2125158730158,678.8894,0.1051625239005736,0.09569802004813133,0.09589924,0.0042065009560229,0.004194550571977257,0.005491475,0.9166666666666666,0.7652348116931753,0.8528768,25,4,0.05,0.18518518518518517
594,324.2125158730158,678.8894,0.101010101010101,0.09569802004813133,0.09589924,0.004040404040404,0.004194550571977257,0.005491475,0.967741935483871,0.7652348116931753,0.8528768,25,4,0.05,0.18518518518518517
922,563.6362857142858,955.47144,0.1182212581344902,0.11719614855261204,0.0973233,0.0047288503253796,0.005568044008168029,0.005610707,0.9008264462809916,0.9087495226183114,0.8724252,25,4,0.1,0.18518518518518517
985,563.6362857142858,955.47144,0.1258883248730964,0.11719614855261204,0.0973233,0.0050355329949238,0.005568044008168029,0.005610707,0.96875,0.9087495226183114,0.8724252,25,4,0.1,0.18518518518518517
991,563.6362857142858,955.47144,0.1200807265388496,0.11719614855261204,0.0973233,0.0048032290615539,0.005568044008168029,0.005610707,0.9296875,0.9087495226183114,0.8724252,25,4,0.1,0.18518518518518517
1804,1268.0517857142856,1508.6359,0.1358093126385809,0.12943372825430005,0.1001714,0.0054323725055432,0.005614392248761022,0.005849172,0.9607843137254902,0.9657018443339271,0.91152215,25,4,0.2,0.18518518518518517
1790,1268.0517857142856,1508.6359,0.135754189944134,0.12943372825430005,0.1001714,0.0054301675977653,0.005614392248761022,0.005849172,0.9642857142857144,0.9657018443339271,0.91152215,25,4,0.2,0.18518518518518517
1705,1268.0517857142856,1508.6359,0.1331378299120234,0.12943372825430005,0.1001714,0.0053255131964809,0.005614392248761022,0.005849172,0.9826839826839828,0.9657018443339271,0.91152215,25,4,0.2,0.18518518518518517
2705,1674.0141190476186,2061.8003,0.1382624768946395,0.13048009053369047,0.103019506,0.0055304990757855,0.005916368660075435,0.006087637,0.9946808510638298,0.9739823697142412,0.9506191,25,4,0.3,0.18518518518518517
2578,1674.0141190476186,2061.8003,0.1322730799069045,0.13048009053369047,0.103019506,0.0052909231962761,0.005916368660075435,0.006087637,0.96875,0.9739823697142412,0.9506191,25,4,0.3,0.18518518518518517
2795,1674.0141190476186,2061.8003,0.1277280858676207,0.13048009053369047,0.103019506,0.0051091234347048,0.005916368660075435,0.006087637,0.978082191780822,0.9739823697142412,0.9506191,25,4,0.3,0.18518518518518517
462,266.3733888888889,666.0313,0.1082251082251082,0.10489536753442547,0.09580769,0.0043290043290043,0.004532151321050471,0.005486117,0.9433962264150944,0.7195786152909568,0.8519647,25,5,0.05,0.18518518518518517
538,266.3733888888889,666.0313,0.104089219330855,0.10489536753442547,0.09580769,0.0041635687732342,0.004532151321050471,0.005486117,0.9032258064516128,0.7195786152909568,0.8519647,25,5,0.05,0.18518518518518517
441,266.3733888888889,666.0313,0.1179138321995464,0.10489536753442547,0.09580769,0.0047165532879818,0.004532151321050471,0.005486117,0.8813559322033898,0.7195786152909568,0.8519647,25,5,0.05,0.18518518518518517
856,597.6403095238094,942.6134,0.1261682242990654,0.11047551529530987,0.09723173,0.0050467289719626,0.005250495531689439,0.00560535,0.9152542372881356,0.9137369478245781,0.8715131,25,5,0.1,0.18518518518518517
855,597.6403095238094,942.6134,0.1204678362573099,0.11047551529530987,0.09723173,0.0048187134502923,0.005250495531689439,0.00560535,0.865546218487395,0.9137369478245781,0.8715131,25,5,0.1,0.18518518518518517
933,597.6403095238094,942.6134,0.1168274383708467,0.11047551529530987,0.09723173,0.0046730975348338,0.005250495531689439,0.00560535,0.9008264462809916,0.9137369478245781,0.8715131,25,5,0.1,0.18518518518518517
2060,1172.561464285714,1495.778,0.1228155339805825,0.13184411302882962,0.10007984,0.0049126213592233,0.005683958244768762,0.0058438145,0.9844357976653696,0.9470584884693285,0.9106101,25,5,0.2,0.18518518518518517
2125,1172.561464285714,1495.778,0.1237647058823529,0.13184411302882962,0.10007984,0.0049505882352941,0.005683958244768762,0.0058438145,0.970479704797048,0.9470584884693285,0.9106101,25,5,0.2,0.18518518518518517
2062,1172.561464285714,1495.778,0.1333656644034917,0.13184411302882962,0.10007984,0.0053346265761396,0.005683958244768762,0.0058438145,0.985663082437276,0.9470584884693285,0.9106101,25,5,0.2,0.18518518518518517
2590,1740.8089761904764,2048.9424,0.1351351351351351,0.1327354832971552,0.102927946,0.0054054054054054,0.006001753850575605,0.006082279,0.9722222222222222,0.977519492985807,0.94970703,25,5,0.3,0.18518518518518517
3009,1740.8089761904764,2048.9424,0.1279494848786972,0.1327354832971552,0.102927946,0.0051179793951478,0.006001753850575605,0.006082279,0.9897172236503856,0.977519492985807,0.94970703,25,5,0.3,0.18518518518518517
2710,1740.8089761904764,2048.9424,0.1269372693726937,0.1327354832971552,0.102927946,0.0050774907749077,0.006001753850575605,0.006082279,0.9690140845070424,0.977519492985807,0.94970703,25,5,0.3,0.18518518518518517
534,291.8819523809523,653.17316,0.1104868913857678,0.10227258831851499,0.095716126,0.0044194756554307,0.004366787909553303,0.0054807593,0.8805970149253731,0.7016561098257429,0.8510526,25,6,0.05,0.18518518518518517
603,291.8819523809523,653.17316,0.1077943615257048,0.10227258831851499,0.095716126,0.0043117744610281,0.004366787909553303,0.0054807593,0.9558823529411764,0.7016561098257429,0.8510526,25,6,0.05,0.18518518518518517
516,291.8819523809523,653.17316,0.1162790697674418,0.10227258831851499,0.095716126,0.0046511627906976,0.004366787909553303,0.0054807593,0.8955223880597015,0.7016561098257429,0.8510526,25,6,0.05,0.18518518518518517
1004,524.5348571428573,929.75543,0.1205179282868526,0.11286273459319035,0.09714017,0.0048207171314741,0.005460450953398974,0.005599992,0.9453125,0.9025510060923351,0.87060106,25,6,0.1,0.18518518518518517
1026,524.5348571428573,929.75543,0.1198830409356725,0.11286273459319035,0.09714017,0.0047953216374269,0.005460450953398974,0.005599992,0.9389312977099236,0.9025510060923351,0.87060106,25,6,0.1,0.18518518518518517
987,524.5348571428573,929.75543,0.1225937183383991,0.11286273459319035,0.09714017,0.0049037487335359,0.005460450953398974,0.005599992,0.9097744360902256,0.9025510060923351,0.87060106,25,6,0.1,0.18518518518518517
2027,1184.6341349206348,1482.9199,0.125801677355698,0.12496309819014315,0.099988274,0.0050320670942279,0.005376762850042731,0.0058384566,0.9770114942528736,0.9548857270292406,0.909698,25,6,0.2,0.18518518518518517
2111,1184.6341349206348,1482.9199,0.1198484130743723,0.12496309819014315,0.099988274,0.0047939365229748,0.005376762850042731,0.0058384566,0.98828125,0.9548857270292406,0.909698,25,6,0.2,0.18518518518518517
1958,1184.6341349206348,1482.9199,0.1276813074565883,0.12496309819014315,0.099988274,0.0051072522982635,0.005376762850042731,0.0058384566,0.9689922480620154,0.9548857270292406,0.909698,25,6,0.2,0.18518518518518517
