actual_completion_time,predicted_completion_time,actual_orders_per_step,predicted_orders_per_step,actual_robot_efficiency,predicted_robot_efficiency,actual_completion_rate,predicted_completion_rate,num_robots,num_workstations,order_density
494,294.77129761904763,0.1113360323886639,0.1112251073417969,0.0044534412955465,0.004449004293671803,0.9166666666666666,0.9045153158193098,25,2,0.05
937,606.6949642857145,0.1259338313767342,0.1276517124193818,0.0050373532550693,0.005106068496775219,0.944,0.9024266596190997,25,2,0.1
1203,606.6949642857145,0.1005818786367414,0.1276517124193818,0.0040232751454696,0.005106068496775219,0.937984496124031,0.9024266596190997,25,2,0.1
1067,606.6949642857145,0.1049671977507029,0.1276517124193818,0.0041986879100281,0.005106068496775219,0.991150442477876,0.9024266596190997,25,2,0.1
1752,1177.4470476190477,0.1312785388127854,0.135590161598222,0.0052511415525114,0.005423606463928848,0.9465020576131687,0.9680156592022797,25,2,0.2
1690,1177.4470476190477,0.1420118343195266,0.135590161598222,0.005680473372781,0.005423606463928848,0.9523809523809524,0.9680156592022797,25,2,0.2
2066,1177.4470476190477,0.12729912875121,0.135590161598222,0.0050919651500484,0.005423606463928848,0.9494584837545126,0.9680156592022797,25,2,0.2
2783,1841.3062857142859,0.1315127560186848,0.13768310715163806,0.0052605102407473,0.0055073242860654735,0.976,0.9733492994604331,25,2,0.3
2686,1841.3062857142859,0.1366344005956813,0.13768310715163806,0.0054653760238272,0.0055073242860654735,0.9839142091152816,0.9733492994604331,25,2,0.3
2801,1841.3062857142859,0.132452695465905,0.13768310715163806,0.0052981078186362,0.0055073242860654735,0.9840848806366048,0.9733492994604331,25,2,0.3
487,268.83376190476184,0.1149897330595482,0.1217429083116865,0.0045995893223819,0.004869716332467403,0.8484848484848485,0.8629793650793648,25,3,0.05
515,268.83376190476184,0.1106796116504854,0.1217429083116865,0.0044271844660194,0.004869716332467403,0.7916666666666666,0.8629793650793648,25,3,0.05
624,268.83376190476184,0.110576923076923,0.1217429083116865,0.0044230769230769,0.004869716332467403,0.971830985915493,0.8629793650793648,25,3,0.05
